"CUSTOMER","SERIAL_NUMBER","NAME","READING_DATE","MODEL","BRAND","LOCATION","MANAGED","COLOR_MONO","LAST_SCAN_DATE","MONO_LIFE_COUNT","COLOR_LIFE_COUNT","FAX_COUNT","SMALL_MONO_COUNT","LARGE_MONO_COUNT","SMALL_COLOR_COUNT","LARGE_COLOR_COUNT","BLACK_LEVEL","CYAN_LEVEL","MAGENTA_LEVEL","YELLOW_LEVEL","WASTE_LEVEL","BLACK_COVERAGE","CYAN_COVERAGE","MAGENTA_COVERAGE","YELLOW_COVERAGE","BLACK_DEPLETION_DATE","CYAN_DEPLETION_DATE","MAGENTA_DEPLETION_DATE","YELLOW_DEPLETION_DATE","BLACK_IMPRESSION_REMAINING","CYAN_IMPRESSION_REMAINING","MAGENTA_IMPRESSION_REMAINING","YELLOW_IMPRESSION_REMAINING","IPADDRESS"
"212 YACHTS","E205R162131","MP C2003","09/04/2025 10:12","MP C2003","RICOH","",True,"Couleur","09/04/2025 10:12","68531","119808","2","","","","","Low","50%","60%","60%","0%","","","","","01/01/0001","01/01/0001","01/01/0001","01/01/0001","","","","","192.168.1.200"
"","","Total site : 212 YACHTS - Site principal","","","","",,"","","68531","119808","2","","","","","","","","","","","","","","","","","","","","","",""
"","","Total client : 212 YACHTS","","","","",,"","","68531","119808","2","","","","","","","","","","","","","","","","","","","","","",""
"ADAPEI CSE","3102R780688","IM C3000","15/12/2025 15:59","IM C3000","RICOH","",True,"Couleur","15/12/2025 15:59","7868","26945","","","235","","1106","20%","90%","40%","Low","0%","","","","","21/07/2026","02/06/2047","19/07/2027","26/11/2025","","","","","192.168.1.228"
"","","Total site : ADAPEI CSE - Site principal","","","","",,"","","7868","26945","","","235","","1106","","","","","","","","","","","","","","","","","",""
"","","Total client : ADAPEI CSE","","","","",,"","","7868","26945","","","235","","1106","","","","","","","","","","","","","","","","","",""
"ADHAP - APAD06 CANNES","C718R530370","MP C3004ex","07/01/2026 10:59","MP C3004","RICOH","",True,"Couleur","07/01/2026 10:59","44522","46448","","","","","","70%","50%","60%","50%","0%","","","","","12/11/2026","23/08/2027","29/11/2029","06/04/2029","","","","","192.168.1.150"
"","","Total site : ADHAP - APAD06 CANNES - Site principal","","","","",,"","","44522","46448","","","","","","","","","","","","","","","","","","","","","","",""
"","","Total client : ADHAP - APAD06 CANNES","","","","",,"","","44522","46448","","","","","","","","","","","","","","","","","","","","","","",""
"ADHAP SERVICE ANTIBES","E174M831252","MP C4503","07/01/2026 11:07","MP C4503","RICOH","copieur-adhap-antibes",True,"Couleur","07/01/2026 11:07","85302","214661","523","","","","","30%","90%","50%","50%","0%","","","","","02/05/2026","13/08/2032","01/01/0001","01/01/0001","","","","","192.168.0.40"
"","","Total site : ADHAP SERVICE ANTIBES - Site principal","","","","",,"","","85302","214661","523","","","","","","","","","","","","","","","","","","","","","",""
"","","Total client : ADHAP SERVICE ANTIBES","","","","",,"","","85302","214661","523","","","","","","","","","","","","","","","","","","","","","",""
"ADONIS Paysages","3100R931115","IM C3000","07/01/2026 11:01","IM C3000","RICOH","",True,"Couleur","07/01/2026 11:01","80409","168861","","","760","","9885","Low","90%","Low","Low","0%","","","","","26/10/2025","06/01/2027","12/02/2026","26/02/2026","","","","","192.168.1.99"
"ADONIS Paysages","C498PC00737","MP C407","07/01/2026 11:01","MP C407","RICOH","",True,"Couleur","07/01/2026 11:01","14146","56419","18","","","","","90%","70%","50%","100%","0%","","","","","01/12/2026","25/08/2026","07/01/2027","01/01/0001","","","","","192.168.1.97"
"","","Total site : ADONIS Paysages - Site principal","","","","",,"","","94555","225280","18","","760","","9885","","","","","","","","","","","","","","","","","",""
"","","Total client : ADONIS Paysages","","","","",,"","","94555","225280","18","","760","","9885","","","","","","","","","","","","","","","","","",""
"AGENCE CASTEL","E205RC60039","MP C2003","07/01/2026 10:28","MP C2003","RICOH","",True,"Couleur","07/01/2026 10:28","16259","70082","1","","","","","80%","70%","90%","90%","0%","","","","","11/06/2036","31/07/2030","30/09/2037","30/09/2037","","","","","192.168.1.11"
"","","Total site : AGENCE CASTEL - Site principal","","","","",,"","","16259","70082","1","","","","","","","","","","","","","","","","","","","","","",""
"","","Total client : AGENCE CASTEL","","","","",,"","","16259","70082","1","","","","","","","","","","","","","","","","","","","","","",""
"AGENCE DE LA CALIFORNIE NICE","G727J400294","MP C5504","07/01/2026 08:54","MP C5504","RICOH","",True,"Couleur","07/01/2026 08:54","98927","148949","468","","","","","90%","80%","20%","70%","0%","","","","","01/01/0001","01/01/0001","28/04/2026","01/01/0001","","","","","192.168.1.151"
"","","Total site : AGENCE DE LA CALIFORNIE NICE - Site principal","","","","",,"","","98927","148949","468","","","","","","","","","","","","","","","","","","","","","",""
"","","Total client : AGENCE DE LA CALIFORNIE NICE","","","","",,"","","98927","148949","468","","","","","","","","","","","","","","","","","","","","","",""
"AGENCE DE MONTE CARLO","E204R961589","MP C2003","07/01/2026 11:19","MP C2003","RICOH","",True,"Couleur","07/01/2026 11:19","74566","76820","281","","","","","Low","50%","40%","70%","0%","","","","","30/07/2025","02/11/2027","22/06/2027","24/01/2029","","","","","192.168.1.200"
